section,topology_label,topology_class,traffic,rate,sample_count,completion_count,accepted_throughput_mean,accepted_throughput_sd,accepted_throughput_ci95,average_packet_latency_cycles_mean,average_packet_latency_cycles_sd,average_packet_latency_cycles_ci95,average_hops_mean,average_hops_sd,average_hops_ci95,delivered_escape_fraction_mean,delivered_escape_fraction_sd,delivered_escape_fraction_ci95,max_link_utilization_mean,max_link_utilization_sd,max_link_utilization_ci95,p95_link_utilization_mean,p95_link_utilization_sd,p95_link_utilization_ci95,link_utilization_cv_mean,link_utilization_cv_sd,link_utilization_cv_ci95,per_source_throughput_jain_mean,per_source_throughput_jain_sd,per_source_throughput_jain_ci95,express_traversals_per_packet_mean
cross,bit_complement_greedy,greedy,bit_complement,0.65,4,4,0.1742057421875,5.8055987115659725e-05,5.689486737334653e-05,26852.828240475,33.07412451446169,32.412642024172456,5.6282564350925,0.0014166269570432123,0.0013882944179023481,0.16566840519275,0.00035292512568614365,0.0003458666231724208,0.82318,0.0003489985673322883,0.00034201859598564254,0.5415325,0.0005046698590827852,0.0004945764619011295,0.60105435008725,5.332533656911896e-05,5.225882983773658e-05,0.87015963357275,0.00048654707675911603,0.0004768161352239337,0.3095293660663519
cross,bit_complement_greedy,greedy,cutstress_bidirectional,0.65,4,4,0.20104578125,8.455805759462932e-06,8.286689644273673e-06,17750.8583513,18.30704807491378,17.940907113415506,2.930834699525,0.001698732792676993,0.001664758136823453,0.00228900723362,2.6738223681047995e-05,2.6203459207427034e-05,0.7636825,0.00023443193752841523,0.00022974329877784692,0.74999,0.0,0.0,1.36389258681,0.00038763592027297246,0.000379883201867513,0.82946900175275,0.0005227625679581571,0.000512307316598994,0.06526343027593065
cross,bit_complement_greedy,greedy,tornado,0.65,4,4,0.213451796875,2.5432617518741592e-05,2.492396516836676e-05,16285.098873949999,17.999889387419454,17.639891599671063,3.8263454651775,0.00029597824479708567,0.00029005867990114395,0.02217293565855,0.00010350537279179046,0.00010143526533595464,0.74999,0.0,0.0,0.74999,0.0,0.0,1.22536422349,6.819199804651224e-05,6.6828158085582e-05,0.85631692358625,0.00014995998426558195,0.00014696078458027032,0.030165433347407893
cross,bit_complement_greedy,greedy,uniform_random,0.65,4,4,0.29771609374999997,0.00048410807497418617,0.00047442591347470245,4806.57305408,121.90355937215217,119.46548818470913,4.5527921886875,0.0012036097145784177,0.0011795375202868494,0.027754301151875,0.0008986416886241386,0.0008806688548516557,0.563795,0.001159726979364847,0.00113653243977755,0.5107025000000001,0.0017741171513365821,0.0017386348083098504,0.2673246124355,0.00045709873572814303,0.0004479567610135802,0.9840407200045,0.0004222696903644749,0.0004138242965571854,0.14818786614006613
cross,bit_complement_sa,sa,bit_complement,0.65,4,4,0.1867817578125,7.559770243818623e-05,7.40857483894225e-05,23195.505951075,17.096478475423268,16.754548905914803,5.31218636479,0.0018964831008593114,0.0018585534388421252,0.15158955994325,0.0004880594532097009,0.00047829826414550684,0.81613,0.0002491318258807302,0.0002441491893631156,0.5354475000000001,0.0006184591067052561,0.000606089924571151,0.614785856714,0.00015501620565190938,0.0001519158815388712,0.859802311455,0.0004674111790741634,0.0004580629554926801,0.3545061449508327
cross,bit_complement_sa,sa,cutstress_bidirectional,0.65,4,4,0.20104578125,8.455805759462932e-06,8.286689644273673e-06,17750.8583513,18.30704807491378,17.940907113415506,2.930834699525,0.001698732792676993,0.001664758136823453,0.00228900723362,2.6738223681047995e-05,2.6203459207427034e-05,0.7636825,0.00023443193752841523,0.00022974329877784692,0.74999,0.0,0.0,1.354901032715,0.0003868734704527172,0.00037913600104366285,0.82946900175275,0.0005227625679581571,0.000512307316598994,0.06526343027593065
cross,bit_complement_sa,sa,tornado,0.65,4,4,0.213451796875,2.5432617518741592e-05,2.492396516836676e-05,16285.098873949999,17.999889387419454,17.639891599671063,3.8263454651775,0.00029597824479708567,0.00029005867990114395,0.02217293565855,0.00010350537279179046,0.00010143526533595464,0.74999,0.0,0.0,0.74999,0.0,0.0,1.2166088068525,6.809571287723033e-05,6.673379861968572e-05,0.85631692358625,0.00014995998426558195,0.00014696078458027032,0.030165433347407893
cross,bit_complement_sa,sa,uniform_random,0.65,4,4,0.2349594921875,0.022993316714460622,0.022533450380171408,13437.3380461,3427.986240728428,3359.4265159138595,4.5347861881850005,0.00804933821759907,0.00788835145324709,0.07955401153305,0.017513962906862593,0.01716368364872534,0.5048425,0.014722659123496231,0.014428205941026307,0.43358,0.03273586107008642,0.03208114384868469,0.31858751395775,0.023932093274644777,0.023453451409151883,0.9500225139805,0.01722844491559306,0.016883876017281196,0.11302717258822144
cross,cutstress_bidirectional_greedy,greedy,bit_complement,0.65,4,4,0.18124140625,0.0001636620609130043,0.0001603888196947442,26732.791602325,62.83044339463061,61.573834526738,6.5122629148025,0.0038250980411757237,0.003748596080352209,0.20564185711625,0.0004423138435672134,0.0004334675666958691,0.84235,0.0006014427099344736,0.0005894138557357841,0.7373675,0.0016990659198512124,0.0016650846014541882,0.58647851646525,0.0004356764054387143,0.00042696287732994,0.90306186504025,0.0004859813345690511,0.00047626170787767007,0.30601887175391296
cross,cutstress_bidirectional_greedy,greedy,cutstress_bidirectional,0.65,4,4,0.269662265625,0.00021061404598742359,0.0002064017650676751,7570.9432018425,29.612789853616437,29.020534056544108,2.619970065235,0.0004302583444375578,0.0004216531775488066,0.00290477902137,7.706157854615956e-05,7.552034697523637e-05,0.7633300000000001,0.00030702877172452694,0.0003008881962900364,0.7115,0.0019535779141530854,0.0019145063558700236,1.1308142054175,0.00024742314508037017,0.00024247468217876276,0.931169178724,0.00020697535342803904,0.00020283584635947825,0.31126299453439343
cross,cutstress_bidirectional_greedy,greedy,tornado,0.65,4,4,0.233126484375,6.011930683804874e-05,5.891692070128777e-05,11871.893775,15.007667858956822,14.707514501777686,3.5767918364925,0.0004889895459918236,0.0004792097550719871,0.041117214911375,0.00013852494540575336,0.0001357544464976383,0.74999,0.0,0.0,0.7397675,0.0002251480994072093,0.0002206451374190651,1.1491113247425,0.00010828217089396818,0.00010611652747608882,0.86417128647075,0.0001861777220999897,0.00018245416765798992,0.13704370947311956
cross,cutstress_bidirectional_greedy,greedy,uniform_random,0.65,4,4,0.2824500390625,0.0006182681385366257,0.0006059027757658932,7881.6057856675,114.27007030465818,111.984668898565,4.6583628410625,0.0013383721314570284,0.0013116046888278878,0.0729311956412,0.0006679546310491896,0.0006545955384282058,0.61261,0.0003708548682885896,0.0003634377709228178,0.56625,0.0009774797525609305,0.0009579301575097119,0.345551377916,0.0007221961736993044,0.0007077522502253183,0.9793387804535,0.0005538651048844349,0.0005427878027867461,0.1454010313454275
cross,cutstress_bidirectional_sa,sa,bit_complement,0.65,4,4,0.1671404296875,8.493481099726309e-05,8.323611477731783e-05,28653.198652525,47.61320370840084,46.66093963423282,6.3236180241625,0.00215801183522085,0.002114851598516433,0.22353865648475,0.00021935395972893132,0.00021496688053435268,0.8442675000000001,0.000640852297075265,0.0006280352511337597,0.6426725,0.0034571218761661553,0.0033879794386428323,0.64679416252,0.00039934074187938327,0.0003913539270417956,0.87067982718775,0.000505212609650682,0.0004951083574576684,0.2474491868964005
cross,cutstress_bidirectional_sa,sa,cutstress_bidirectional,0.65,4,4,0.27294453125,4.692844175800728e-05,4.5989872922847134e-05,7727.38067342,20.913445889110072,20.49517697132787,2.5571157292675,0.0014532954185188416,0.0014242295101484647,0.0021953825186450003,4.4383159458577824e-05,4.349549626940627e-05,0.7602,0.000510620537516221,0.0005004081267658966,0.74999,0.0,0.0,1.17083929534,0.00047987697574434243,0.0004702794362294556,0.944770656517,0.00024239219912052185,0.0002375443551381114,0.3122150242565537
cross,cutstress_bidirectional_sa,sa,tornado,0.65,4,4,0.219904765625,3.180356067100345e-05,3.116748945758338e-05,14483.99874785,28.313378382049265,27.74711081440828,3.7880648593525,0.00015589938990934508,0.00015278140211115817,0.058793912893725,0.0001625903173949471,0.00015933851104704816,0.74999,0.0,0.0,0.74516,9.273618495498194e-05,9.08814612558823e-05,1.1863499203824999,7.730831920747223e-05,7.576215282332279e-05,0.853536060541,0.00011485769636348642,0.00011256054243621669,0.06966865582515937
cross,cutstress_bidirectional_sa,sa,uniform_random,0.65,4,4,0.2785573046875,0.0002812331990062877,0.000275608535026162,8518.164533655,93.80964808510583,91.93345512340372,4.687403425615,0.0016653417211700894,0.0016320348867466877,0.0806736471791,0.00033050093439638027,0.00032389091570845266,0.63017,0.0033086049426709766,0.003242432843817557,0.55353,0.002229424439924647,0.002184835951126154,0.3428395712545,0.000719293544243334,0.0007049076733584672,0.9764280696945,0.0009022307269042191,0.0008841861123661346,0.12409350815790159
cross,mesh,mesh,bit_complement,0.65,4,4,0.1308650390625,8.831810394094948e-05,8.655174186213049e-05,34103.299542225,13.577706538820914,13.306152408044495,6.629985454995,0.0022301560614060092,0.002185552940177889,0.32063426508375004,0.00042150895717687516,0.00041307877803333767,0.863805,0.0005190054591877152,0.0005086253500039609,0.54021,0.0007682013624911745,0.000752837335241351,0.68161841488675,0.0005336866686353334,0.0005230129352626268,0.7856696158527501,0.0006031271152593272,0.0005910645729541407,0.0
cross,mesh,mesh,cutstress_bidirectional,0.65,4,4,0.1875003125,5.103103630718408e-07,5.00104155810404e-07,20206.615203425,20.5853541258945,20.17364704337661,2.9851133615775,0.001733882335645708,0.0016992046889327938,0.0,0.0,0.0,0.74999,0.0,0.0,0.74999,0.0,0.0,1.3776102002925,0.0003831297305071652,0.00037546713589702187,0.81175895382125,0.000575674616617431,0.0005641611242850824,0.0
cross,mesh,mesh,tornado,0.65,4,4,0.209205234375,1.1382681129129993e-05,1.1155027506547393e-05,17477.0646537,17.480760471609443,17.131145262177252,3.8962498345450003,5.2099372087040836e-05,5.1057384645300016e-05,0.017561813333199998,3.0374047716651845e-05,2.9766566762318808e-05,0.74999,0.0,0.0,0.74999,0.0,0.0,1.201592562265,2.9251873751429626e-05,2.8666836276401033e-05,0.85827288936825,0.00011801076541091086,0.00011565055010269264,0.0
cross,mesh,mesh,uniform_random,0.65,4,4,0.26550203125,0.00012581673283159006,0.00012330039817495827,9876.461141015,24.934306743593243,24.43562060872138,5.1234251360925,0.0006127728869340528,0.0006005174291953718,0.019385038379525002,0.00011752516236975686,0.00011517465912236173,0.5676,0.00018018509002320002,0.000176581388222736,0.53473,0.0008829118491295336,0.0008652536121469429,0.317204714924,0.00027521954100426005,0.00026971515018417484,0.9516845700855,0.00023795208256604042,0.0002331930409147196,0.0
