traffic,topology,configured_injection_rate,seeds,accepted_throughput_mean,accepted_throughput_sd,average_packet_latency_cycles_mean,average_packet_latency_cycles_sd,express_traversals_per_packet_mean,delivered_escape_fraction_mean,max_link_utilization_mean
cutstress,aspl,0.1,"[1, 2, 3]",0.025028802083333333,4.304951374499528e-05,10.648964544633333,0.002282887894021909,0.5752003463079346,0.0,0.19702666666666668
cutstress,aspl,0.2,"[1, 2, 3]",0.050021145833333336,7.32177933913423e-05,10.938173942333334,0.0008588946788169915,0.5020121883535856,0.0,0.33407666666666663
cutstress,aspl,0.3,"[1, 2, 3]",0.07498427083333332,1.5673016499085854e-05,11.320217553866668,0.0016485844480581594,0.44456475607362966,0.0,0.55516
cutstress,aspl,0.35,"[1, 2, 3]",0.08747291666666668,1.4184272148712964e-05,11.868925885233333,0.013440574294961026,0.42149295080671095,0.0,0.66776
cutstress,aspl,0.4,"[1, 2, 3]",0.0994775,3.692550390369613e-05,325.13445723633333,17.108671339795556,0.40181825690314416,2.61769547219e-06,0.74893
cutstress,aspl,0.5,"[1, 2, 3]",0.11518161458333333,1.0466288060425935e-05,3413.8995336400003,12.111109302193684,0.3864847387066586,0.0005145842141016666,0.75355
cutstress,aspl,0.6,"[1, 2, 3]",0.12929973958333332,2.3505572440684646e-05,5419.963864143333,46.772284114652805,0.35992275591555706,0.0029654869368966664,0.7739033333333333
cutstress,aspl,0.8,"[1, 2, 3]",0.13677098958333334,2.459447575873843e-05,14530.910798533334,25.48874345400839,0.35298475838206933,0.006939043401246667,0.81061
cutstress,mesh,0.1,"[1, 2, 3]",0.025028802083333333,4.314392952101054e-05,13.157340640633334,0.0032758284466388047,0.0,0.0,0.20212333333333332
cutstress,mesh,0.2,"[1, 2, 3]",0.05002104166666666,7.31815501305754e-05,13.486458690733334,0.0030642047337865797,0.0,0.0,0.4027433333333333
cutstress,mesh,0.3,"[1, 2, 3]",0.07498432291666667,1.5721231442085827e-05,14.662796902099998,0.007810276032387071,0.0,0.0,0.6024933333333333
cutstress,mesh,0.35,"[1, 2, 3]",0.08747500000000001,1.5421064969440543e-05,18.8231356172,0.028456559210349827,0.0,0.0,0.7023733333333334
