traffic,series,configured_injection_rate,sample_count,seeds,accepted_throughput_mean,accepted_throughput_sd,average_packet_latency_cycles_mean,average_packet_latency_cycles_sd,express_traversals_per_packet_mean,escape_fraction_mean,max_link_utilization_mean,no_progress_runs
bit_complement,aspl,0.8,3,"[1, 2, 3]",0.19759057291666668,0.010331966671847128,33288.707911179335,2010.175144594033,0.43580135805470316,0.1125081282408954,0.41462,0
bit_complement,bitcomp_aspl,0.8,3,"[1, 2, 3]",0.16709197916666665,0.006639463629245297,44338.084665516675,6651.460116658466,0.24903878287943496,0.10930792847203326,0.30044,0
bit_complement,mesh,0.8,3,"[1, 2, 3]",0.20434020833333333,0.0020735805665810115,35855.951386696,357.8294686831288,0.0,0.08146570876974146,0.47730999999999996,0
bit_complement,random,0.8,3,"[1, 2, 3]",0.22540520833333333,0.0015831547545263841,32003.598915647333,116.92406036271488,0.30954087289714743,0.07943935541386456,0.4860466666666667,0
bit_complement,stride_aspl,0.8,3,"[1, 2, 3]",0.21348739583333334,0.015666837898519862,32649.44620012467,2344.339171105809,0.44497559024132977,0.09836737588033391,0.39077999999999996,0
tornado,aspl,0.5,3,"[1, 2, 3]",0.23012406249999998,0.0021016751402589064,4127.8648029626665,311.737741714612,0.4442747519114623,0.07398321417980495,0.4236766666666667,0
tornado,aspl,0.8,3,"[1, 2, 3]",0.23341479166666668,0.0007581115854531259,26207.426803476003,287.2806366110938,0.45512941086125097,0.08542573237664479,0.44101999999999997,0
tornado,mesh,0.5,3,"[1, 2, 3]",0.19503661458333332,0.0007737916311890828,12089.323890759333,124.43948726247993,0.0,0.08290067014496598,0.4452566666666667,0
tornado,mesh,0.8,3,"[1, 2, 3]",0.19900838541666666,0.0009548007837634713,32624.077264805997,397.2395101446888,0.0,0.08649662899916281,0.46841333333333335,0
tornado,random,0.5,3,"[1, 2, 3]",0.22566890625,0.0014130726680657178,5075.746666611333,207.48864040338006,0.321141685320054,0.06675750896498327,0.4809666666666666,0
tornado,random,0.8,3,"[1, 2, 3]",0.22665140625000002,0.0007688719838855915,28329.92855718067,239.08509854312302,0.3150909738995689,0.0768652259028535,0.4879733333333333,0
tornado,stride_aspl,0.5,3,"[1, 2, 3]",0.23709677083333336,0.0014889302381653963,2556.5409399220002,340.0190980022907,0.4596349447558999,0.06039729098349453,0.41075333333333336,0
tornado,stride_aspl,0.8,3,"[1, 2, 3]",0.23085390625,0.004259617967743096,26800.1405638,1447.7112106920813,0.46166069256949815,0.08326204885153912,0.39524,0
tornado,tornado_aspl,0.5,3,"[1, 2, 3]",0.21230140625000002,0.002294015655739089,7061.230721701333,319.36899530898995,0.3665423317700216,0.09148277403675283,0.4926433333333333,0
tornado,tornado_aspl,0.8,3,"[1, 2, 3]",0.19327994791666667,0.009079663501242216,30003.657874907996,2130.961295474147,0.3618346089801204,0.11903625406922978,0.4994766666666666,0
tornado,tornado_hybrid,0.5,3,"[1, 2, 3]",0.21452932291666668,0.0015013890288136573,7295.138372716,255.90085361130113,0.35802822501358306,0.08663447359143239,0.49721,0
tornado,tornado_hybrid,0.8,3,"[1, 2, 3]",0.20048088541666664,0.009003877257575644,29590.585571913998,1634.5474055225607,0.35218160399445847,0.1116800346122197,0.52649,0
